used_id,krisna_id,name
9402,2508,Jayawijaya
9404,2510,Nabire
9408,2504,Kepulauan Yapen
9409,2502,Biak Numfor
9410,2509,Paniai
9411,2511,Puncak Jaya
9412,2512,Mimika
9413,2515,Boven Digoel
9414,2513,Mappi
9415,2514,Asmat
9416,2524,Yahukimo
9417,2519,Pegunungan Bintang
9418,2518,Tolikara
9419,2516,Sarmi
9420,2517,Keerom
9426,2523,Waropen
9427,2527,Supiori
9428,2520,Mamberamo Raya
9429,2532,Nduga
9430,2529,Lanny Jaya
9431,2528,Mamberamo Tengah
9432,2531,Yalimo
9433,2533,Puncak
9434,2530,Dogiyai
9435,2535,Intan Jaya
9436,2536,Deiyai
9471,2501,Jayapura
