kd_prov;provinsi;kd_kota;Kota
12;Provinsi Lampung;1206;Kab. Tanggamus
31;Provinsi Gorontalo;3104;Kab. Bone Bolango
18;Provinsi Sulawesi Tengah;1804;Kab. Banggai
18;Provinsi Sulawesi Tengah;1802;Kab. Donggala
19;Provinsi Sulawesi Selatan;1912;Kab. Bantaeng
19;Provinsi Sulawesi Selatan;1921;Kab. Enrekang
23;Provinsi Nusa Tenggara Barat;2305;Kab. Sumbawa
20;Provinsi Sulawesi Tenggara;2008;Kab. Kolaka Utara
20;Provinsi Sulawesi Tenggara;2005;Kab. Konawe Selatan
34;Provinsi Sulawesi Barat;3402;Kab. Mamuju
12;Provinsi Lampung;1208;Kab. Way Kanan
07;Provinsi Sumatera Utara;0715;Kab. Pakpak Barat
18;Provinsi Sulawesi Tengah;1803;Kab. Toli-Toli
18;Provinsi Sulawesi Tengah;1809;Kab. Tojo Una-Una
34;Provinsi Sulawesi Barat;3401;Kab. Majene
12;Provinsi Lampung;1210;Kab. Pringsewu
12;Provinsi Lampung;1205;Kab. Tulang Bawang
23;Provinsi Nusa Tenggara Barat;2303;Kab. Lombok Timur
02;Provinsi Jawa Barat;0210;Kab. Purwakarta
22;Provinsi Bali;2203;Kab. Klungkung
13;Provinsi Kalimantan Barat;1305;Kab. Kapuas Hulu
13;Provinsi Kalimantan Barat;1311;Kab. Kayong Utara
13;Provinsi Kalimantan Barat;1308;Kab. Landak
13;Provinsi Kalimantan Barat;1303;Kab. Sintang
14;Provinsi Kalimantan Tengah;1413;Kab. Barito Timur
24;Provinsi Nusa Tenggara Timur;2415;Kab. Manggarai Barat
24;Provinsi Nusa Tenggara Timur;2420;Kab. Manggarai Timur
24;Provinsi Nusa Tenggara Timur;2414;Kab. Rote Ndao
24;Provinsi Nusa Tenggara Timur;2404;Kab. Timor Tengah Selatan
24;Provinsi Nusa Tenggara Timur;2417;Kab. Nagekeo
13;Provinsi Kalimantan Barat;1307;Kab. Bengkayang
16;Provinsi Kalimantan Timur;1610;Kab. Kutai Kertanegara
16;Provinsi Kalimantan Timur;1608;Kab. Kutai Timur
06;Provinsi Aceh;0614;Kab. Aceh Jaya
07;Provinsi Sumatera Utara;0701;Kab. Deliserdang
26;Provinsi Bengkulu;2601;Kab. Bengkulu Utara
18;Provinsi Sulawesi Tengah;1806;Kab. Morowali
18;Provinsi Sulawesi Tengah;1814;Kab. Morowali Utara
18;Provinsi Sulawesi Tengah;1801;Kab. Poso
14;Provinsi Kalimantan Tengah;1400;Provinsi Kalimantan Tengah
03;Provinsi Jawa Tengah;0309;Kab. Pati
33;Provinsi Papua Barat;3302;Kab. Sorong
06;Provinsi Aceh;0601;Kab. Aceh Besar
05;Provinsi Jawa Timur;0523;Kab. Ngawi
06;Provinsi Aceh;0612;Kab. Aceh Barat Daya
06;Provinsi Aceh;0601;Kab. Aceh Besar
06;Provinsi Aceh;0604;Kab. Aceh Timur
06;Provinsi Aceh;0615;Kab. Nagan Raya
26;Provinsi Bengkulu;2605;Kab. Kaur
26;Provinsi Bengkulu;2608;Kab. Kepahiang
19;Provinsi Sulawesi Selatan;1925;Kab. Toraja Utara
02;Provinsi Jawa Barat;0213;Kab. Sumedang
03;Provinsi Jawa Tengah;0306;Kab. Batang
03;Provinsi Jawa Tengah;0307;Kab. Tegal
03;Provinsi Jawa Tengah;0313;Kab. Rembang
04;Provinsi DI Yogyakarta;0401;Kab. Bantul
06;Provinsi Aceh;0602;Kab. Pidie
06;Provinsi Aceh;0618;Kab. Pidie Jaya
07;Provinsi Sumatera Utara;0710;Kab. Asahan
07;Provinsi Sumatera Utara;0703;Kab. Langkat
08;Provinsi Sumatera Barat;0813;Kab. Sijunjung
08;Provinsi Sumatera Barat;0804;Kab. Solok
08;Provinsi Sumatera Barat;0811;Kab. Solok Selatan
10;Provinsi Jambi;1006;Kab. Merangin
09;Provinsi Riau;0913;Kab. Kepulauan Meranti
26;Provinsi Bengkulu;2603;Kab. Rejang Lebong
31;Provinsi Gorontalo;3103;Kab. Pohuwato
19;Provinsi Sulawesi Selatan;1902;Kab. Gowa
19;Provinsi Sulawesi Selatan;1909;Kab. Luwu
19;Provinsi Sulawesi Selatan;1922;Kab. Luwu Utara
23;Provinsi Nusa Tenggara Barat;2308;Kab. Lombok Utara
23;Provinsi Nusa Tenggara Barat;2307;Kab. Sumbawa Barat
20;Provinsi Sulawesi Tenggara;2012;Kab. Kolaka Timur
34;Provinsi Sulawesi Barat;3405;Kab. Mamasa
34;Provinsi Sulawesi Barat;3404;Kab. Polewali Mandar
10;Provinsi Jambi;1004;Kab. Sarolangun
19;Provinsi Sulawesi Selatan;1906;Kab. Tanatoraja
22;Provinsi Bali;2202;Kab. Jembrana
22;Provinsi Bali;2202;Kab. Jembrana
05;Provinsi Jawa Timur;0513;Kab. Malang
12;Provinsi Lampung;1200;Provinsi Lampung
02;Provinsi Jawa Barat;0200;Provinsi Jawa Barat
19;Provinsi Sulawesi Selatan;1900;Provinsi Sulawesi Selatan
08;Provinsi Sumatera Barat;0803;Kab. Limapuluh Kota
23;Provinsi Nusa Tenggara Barat;2303;Kab. Lombok Timur
15;Provinsi Kalimantan Selatan;1502;Kab. Tanah Laut
02;Provinsi Jawa Barat;0214;Kab. Garut
02;Provinsi Jawa Barat;0216;Kab. Ciamis
03;Provinsi Jawa Tengah;0301;Kab. Semarang
03;Provinsi Jawa Tengah;0324;Kab. Klaten
02;Provinsi Jawa Barat;0211;Kab. Subang
02;Provinsi Jawa Barat;0206;Kab. Sukabumi
15;Provinsi Kalimantan Selatan;1502;Kab. Tanah Laut
03;Provinsi Jawa Tengah;0300;Provinsi Jawa Tengah
07;Provinsi Sumatera Utara;0721;Kab. Batubara
07;Provinsi Sumatera Utara;0705;Kab. Simalungun
08;Provinsi Sumatera Barat;0806;Kab. Pesisir Selatan
08;Provinsi Sumatera Barat;0807;Kab. Tanah Datar
19;Provinsi Sulawesi Selatan;1911;Kab. Bulukumba
19;Provinsi Sulawesi Selatan;1924;Kab. Luwu Timur
19;Provinsi Sulawesi Selatan;1918;Kab. Pangkajene Kepulauan
19;Provinsi Sulawesi Selatan;1901;Kab. Pinrang
19;Provinsi Sulawesi Selatan;1910;Kab. Sinjai
19;Provinsi Sulawesi Selatan;1919;Kab. Soppeng
20;Provinsi Sulawesi Tenggara;2006;Kab. Bombana
03;Provinsi Jawa Tengah;0317;Kab. Purbalingga
02;Provinsi Jawa Barat;0221;Kab. Bandung Barat
11;Provinsi Sumatera Selatan;1107;Kab. Musi Rawas
11;Provinsi Sumatera Selatan;1110;Kab. Oku Timur
02;Provinsi Jawa Barat;0212;Kab. Bandung
07;Provinsi Sumatera Utara;0708;Kab. Tapanuli Utara
25;Provinsi Papua;2510;Kab. Nabire
05;Provinsi Jawa Timur;0517;Kab. Kediri
02;Provinsi Jawa Barat;0221;Kab. Bandung Barat
11;Provinsi Sumatera Selatan;1109;Kab. Banyuasin
20;Provinsi Sulawesi Tenggara;2005;Kab. Konawe Selatan
18;Provinsi Sulawesi Tengah;1801;Kab. Poso
13;Provinsi Kalimantan Barat;1351;Kota Pontianak
02;Provinsi Jawa Barat;0205;Kab. Bogor
03;Provinsi Jawa Tengah;0315;Kab. Banyumas
16;Provinsi Kalimantan Timur;1604;Kab. Berau
34;Provinsi Sulawesi Barat;3401;Kab. Majene
13;Provinsi Kalimantan Barat;1306;Kab. Ketapang
12;Provinsi Lampung;1201;Kab. Lampung Selatan
22;Provinsi Bali;2205;Kab. Karangasem
03;Provinsi Jawa Tengah;0314;Kab. Blora
02;Provinsi Jawa Barat;0215;Kab. Tasikmalaya
05;Provinsi Jawa Timur;0502;Kab. Mojokerto
22;Provinsi Bali;2201;Kab. Buleleng
34;Provinsi Sulawesi Barat;3402;Kab. Mamuju
22;Provinsi Bali;2208;Kab. Tabanan
26;Provinsi Bengkulu;2602;Kab. Bengkulu Selatan
29;Provinsi Banten;2902;Kab. Pandeglang
05;Provinsi Jawa Timur;0518;Kab. Tulungagung
26;Provinsi Bengkulu;2607;Kab. Lebong
02;Provinsi Jawa Barat;0209;Kab. Karawang
09;Provinsi Riau;0908;Kab. Rokan Hilir
00;Pusat;0000;Pusat
05;Provinsi Jawa Timur;0504;Kab. Jombang
08;Provinsi Sumatera Barat;0803;Kab. Limapuluh Kota
35;Provinsi Kalimantan Utara;3501;Kab. Bulungan
25;Provinsi Papua;2501;Kab. Jayapura
20;Provinsi Sulawesi Tenggara;2009;Kab. Konawe
23;Provinsi Nusa Tenggara Barat;2302;Kab. Lombok Tengah
02;Provinsi Jawa Barat;0207;Kab. Cianjur
31;Provinsi Gorontalo;3102;Kab. Boalemo
08;Provinsi Sumatera Barat;0810;Kab. Dharmas Raya
23;Provinsi Nusa Tenggara Barat;2301;Kab. Lombok Barat
14;Provinsi Kalimantan Tengah;1411;Kab. Pulang Pisau
25;Provinsi Papua;2551;Kota Jayapura
03;Provinsi Jawa Tengah;0302;Kab. Kendal
26;Provinsi Bengkulu;2606;Kab. Muko-Muko
13;Provinsi Kalimantan Barat;1312;Kab. Kubu Raya
22;Provinsi Bali;2204;Kab. Gianyar
26;Provinsi Bengkulu;2604;Kab. Seluma
13;Provinsi Kalimantan Barat;1301;Kab. Sambas
25;Provinsi Papua;2507;Kab. Merauke
14;Provinsi Kalimantan Tengah;1405;Kab. Kotawaringin Barat
19;Provinsi Sulawesi Selatan;1915;Kab. Takalar
03;Provinsi Jawa Tengah;0310;Kab. Kudus
31;Provinsi Gorontalo;3101;Kab. Gorontalo
02;Provinsi Jawa Barat;0222;Kab. Pangandaran
35;Provinsi Kalimantan Utara;3501;Kab. Bulungan
03;Provinsi Jawa Tengah;0303;Kab. Demak
07;Provinsi Sumatera Utara;0720;Kab. Serdang Bedagai
03;Provinsi Jawa Tengah;0315;Kab. Banyumas
02;Provinsi Jawa Barat;0205;Kab. Bogor
33;Provinsi Papua Barat;3301;Kab. Manokwari
